Id,Label,Modularity Class
226039893761,,183
200058246699288,,183
19816058884,,183
157022231008959,,183
183579145102690,,183
559942020685806,,183
169714826421081,,565
378051472301601,,565
198348250195087,,565
1397477737132887,,565
344974338915876,,565
117384551638078,,565
404221492926697,,565
334893789912928,,565
565420016884205,,565
417939958252764,,565
156189131140392,,565
495642410507657,,565
121791671220792,,565
231205392666,,565
362243607208536,,565
382550875215579,,565
212914478730586,,565
452656098197105,,565
111204668925151,,565
530592353667837,,565
457813894236309,,565
206049349440445,,565
172504556114167,,565
142727145762765,,565
111379525554142,,565
176491085713003,,565
105633829471456,,565
268305623218293,,565
151933584823438,,565
391911091808,,565
105269014204,,565
125502087593705,,565
147560701939533,,565
130942597761,,30
359251914106362,,30
14661825726,,30
147826751917011,,30
239104276216774,,30
129631920556040,,30
116097505200852,,30
484885158227368,,30
36392033417,,30
640392352658582,,30
184210905017457,,30
225062680860593,,30
115446748496884,,30
9587989815,,30
379359015463090,,30
146315506912,,30
102512666470326,,30
129559553741063,,30
226933043989608,,30
286813804668825,,30
484151871651971,,30
199299406748536,,30
141332869356039,,30
225940320870320,,30
143724669165435,,30
354764336744,,30
163868423657594,,30
148650058525027,,30
48293967279,,30
381078798674306,,30
53304568391,,30
446970635365741,,30
397825123605452,,30
143440629061452,,30
394915923889268,,30
209165372436551,,30
145523322156287,,30
165619990247657,,30
215852036041,,30
115381141879,,30
402196246539293,,30
172374083021,,30
225004830931589,,30
203098389722511,,30
435192799857521,,30
295080483842166,,30
89359925488,,30
157129306827,,30
116202368465344,,30
148583711955119,,30
174297701696,,30
192306230810239,,30
120021828027058,,30
401524056574184,,30
164334026932843,,30
63073423600,,30
220330441359494,,30
104383239633803,,30
428398327215094,,30
77500719676,,30
137844382909601,,30
132641303418453,,30
137753499590300,,30
168265216549512,,30
132777712048,,30
124277940893,,30
457630014256569,,30
138172812903595,,30
294135867300542,,30
277636635633693,,30
400901909939104,,30
179270228761065,,30
120614174616069,,30
271573749521209,,30
338036800602,,30
126975560648239,,30
184909978189917,,30
114562073671,,30
126788624013665,,30
344292212167,,30
323769416216,,30
233896479978392,,30
217936034891384,,30
139281079428412,,30
181619175297282,,30
