Id,Label,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eigenvector Centrality
137753499590300,,30,0,1,1,1.0,0.0,1.0,0.0
168265216549512,,30,0,1,1,1.0,0.0,1.0,0.0
132777712048,,30,0,1,1,1.0,0.0,1.0,0.0
124277940893,,30,0,1,1,1.0,0.0,1.0,0.0
457630014256569,,30,0,1,1,1.0,0.0,1.0,0.0
138172812903595,,30,0,1,1,1.0,0.0,1.0,0.0
294135867300542,,30,0,1,1,1.0,0.0,1.0,0.0
277636635633693,,30,0,1,1,1.0,0.0,1.0,0.0
400901909939104,,30,0,1,1,1.0,0.0,1.0,0.0
179270228761065,,30,0,1,1,1.0,0.0,1.0,0.0
120614174616069,,30,0,1,1,1.0,0.0,1.0,0.0
271573749521209,,30,0,1,1,1.0,0.0,1.0,0.0
338036800602,,30,0,1,1,1.0,0.0,1.0,0.0
126975560648239,,30,0,2,2,2.0,0.0,2.0,0.0
184909978189917,,30,0,2,2,3.0,0.0,3.0,0.0
114562073671,,30,0,1,1,1.0,0.0,1.0,0.0
126788624013665,,30,0,1,1,1.0,0.0,1.0,0.0
344292212167,,30,0,1,1,1.0,0.0,1.0,0.0
323769416216,,30,0,1,1,1.0,0.0,1.0,0.0
233896479978392,,30,0,1,1,1.0,0.0,1.0,0.0
217936034891384,,30,0,1,1,1.0,0.0,1.0,0.0
139281079428412,,30,0,1,1,1.0,0.0,1.0,0.0
181619175297282,,30,0,1,1,1.0,0.0,1.0,0.0
102282073207836,,30,0,2,2,2.0,0.0,2.0,0.0
22127563836,,30,0,2,2,2.0,0.0,2.0,0.0
76273827237,,30,0,1,1,1.0,0.0,1.0,0.0
191582067138,,30,0,1,1,1.0,0.0,1.0,0.0
194746207238141,,30,0,1,1,1.0,0.0,1.0,0.0
127189896205,,30,0,1,1,1.0,0.0,1.0,0.0
139052809467196,,30,0,1,1,1.0,0.0,1.0,0.0
52368145486,,30,0,1,1,1.0,0.0,1.0,0.0
43105614434,,30,0,2,2,2.0,0.0,2.0,0.0
132661226785239,,30,0,2,2,2.0,0.0,2.0,0.0
177393885633224,,30,0,1,1,1.0,0.0,1.0,0.0
49908483531,,30,0,2,2,2.0,0.0,2.0,0.0
119084421502015,,30,0,1,1,1.0,0.0,1.0,0.0
56588246537,,30,0,1,1,1.0,0.0,1.0,0.0
29244094145,,30,0,1,1,1.0,0.0,1.0,0.0
328941131974,,30,0,1,1,1.0,0.0,1.0,0.0
326480973283,,30,0,2,2,2.0,0.0,2.0,0.0
136656334522,,30,0,1,1,1.0,0.0,1.0,0.0
127426043955479,,30,0,1,1,1.0,0.0,1.0,0.0
145737632118475,,30,0,1,1,1.0,0.0,1.0,0.0
66153248320,,30,0,1,1,1.0,0.0,1.0,0.0
83607422778,,30,0,1,1,1.0,0.0,1.0,0.0
141006952485,,30,0,1,1,1.0,0.0,1.0,0.0
58506898175,,30,0,1,1,1.0,0.0,1.0,0.0
90187774358,,30,0,1,1,1.0,0.0,1.0,0.0
48622272808,,30,0,2,2,2.0,0.0,2.0,0.0
96730505989,,30,0,1,1,1.0,0.0,1.0,0.0
104021335581,,30,0,2,2,2.0,0.0,2.0,0.0
64300556312,,30,0,2,2,2.0,0.0,2.0,0.0
107161699319433,,30,0,1,1,1.0,0.0,1.0,0.0
134296996597869,,30,0,1,1,1.0,0.0,1.0,0.0
79140944673,,30,0,1,1,1.0,0.0,1.0,0.0
156314357745103,,30,0,1,1,1.0,0.0,1.0,0.0
115293181825429,,30,0,3,3,4.0,0.0,4.0,0.0
61134242230,,30,0,2,2,2.0,0.0,2.0,0.0
161295523902329,,30,0,1,1,1.0,0.0,1.0,0.0
168401510959,,30,0,1,1,1.0,0.0,1.0,0.0
136354066247,,30,0,2,2,2.0,0.0,2.0,0.0
140029389353178,,30,0,1,1,1.0,0.0,1.0,0.0
185457709305,,30,0,2,2,2.0,0.0,2.0,0.0
120640724246,,30,0,1,1,1.0,0.0,1.0,0.0
100752972454,,30,0,1,1,1.0,0.0,1.0,0.0
109926442339,,30,0,2,2,2.0,0.0,2.0,0.0
165345700190087,,30,0,1,1,1.0,0.0,1.0,0.0
291882967915,,30,0,1,1,1.0,0.0,1.0,0.0
150459551651250,,30,0,1,1,1.0,0.0,1.0,0.0
220330927983469,,30,0,1,1,1.0,0.0,1.0,0.0
136753606407304,,353,0,2,2,2.0,0.0,2.0,0.0
171260846267490,,30,0,1,1,1.0,0.0,1.0,0.0
62786071521,,30,0,2,2,2.0,0.0,2.0,0.0
123870057880,,30,0,2,2,2.0,0.0,2.0,0.0
92251853240,,30,0,1,1,1.0,0.0,1.0,0.0
313730128448,,29,0,1,1,1.0,0.0,1.0,0.0
150073425438,,29,0,1,1,1.0,0.0,1.0,0.0
126900403987295,,424,0,1,1,2.0,0.0,2.0,0.0
57315837894,,424,0,1,1,2.0,0.0,2.0,0.0
58115026159,,424,0,1,1,2.0,0.0,2.0,0.0
103742739664421,,62,0,1,1,1.0,0.0,1.0,0.0
372390249482315,,352,0,1,1,2.0,0.0,2.0,0.0
