Source,Target
105538206542,195149384639
226039893761,195149384639
183467008341759,195149384639
200058246699288,195149384639
72204730581,195149384639
19816058884,195149384639
103432528486,195149384639
106457430009,195149384639
157022231008959,195149384639
183579145102690,195149384639
559942020685806,195149384639
109792719086233,195149384639
178449345592087,195149384639
126053197435728,91215651704
155962054430232,128983110479859
169714826421081,128983110479859
57203796636,128983110479859
378051472301601,128983110479859
198348250195087,128983110479859
102003123203528,128983110479859
1397477737132887,128983110479859
344974338915876,128983110479859
355624391206806,128983110479859
117384551638078,128983110479859
404221492926697,128983110479859
334893789912928,128983110479859
318220697214,128983110479859
565420016884205,128983110479859
417939958252764,128983110479859
156189131140392,128983110479859
495642410507657,128983110479859
121791671220792,128983110479859
231205392666,128983110479859
362243607208536,128983110479859
382550875215579,128983110479859
212914478730586,128983110479859
452656098197105,128983110479859
111204668925151,128983110479859
530592353667837,128983110479859
457813894236309,128983110479859
206049349440445,128983110479859
172504556114167,128983110479859
140472381001,128983110479859
142727145762765,128983110479859
95259761813,128983110479859
123028107715230,128983110479859
117565718272460,128983110479859
111379525554142,128983110479859
176491085713003,128983110479859
105633829471456,128983110479859
268305623218293,128983110479859
151933584823438,128983110479859
391911091808,128983110479859
68450920338,128983110479859
105269014204,128983110479859
125502087593705,128983110479859
147560701939533,128983110479859
125770994106508,128983110479859
108238242618820,162377913820537
141488775889978,136918659670860
106884549350308,157167861023257
71074973989,111496828890008
238869862365,59791986761
130942597761,59791986761
359251914106362,59791986761
105767779205,59791986761
14661825726,59791986761
147826751917011,59791986761
239104276216774,59791986761
198144911296,59791986761
43686645956,59791986761
129631920556040,59791986761
116097505200852,59791986761
484885158227368,59791986761
36392033417,59791986761
417919884910506,59791986761
640392352658582,59791986761
354397064585625,59791986761
184210905017457,59791986761
225062680860593,59791986761
115446748496884,59791986761
9587989815,59791986761
118507562475,59791986761
130782957999,59791986761
379359015463090,59791986761
146315506912,59791986761
102512666470326,59791986761
129559553741063,59791986761
226933043989608,59791986761
286813804668825,59791986761
484151871651971,59791986761
199299406748536,59791986761
141332869356039,59791986761
430718456985165,59791986761
225940320870320,59791986761
143724669165435,59791986761
354764336744,59791986761
163868423657594,59791986761
148650058525027,59791986761
48293967279,59791986761
381078798674306,59791986761
53304568391,59791986761
446970635365741,59791986761
397825123605452,59791986761
